PostIndex,Topic,Emotion,AudioFormat,VideoFormat,Language
6059,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
6060,Festival,happy,lip-syncing,self-shot,Hindi
6061,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6062,Magic,surprise,self-spoken-monologues,special-effects,Hindi
6063,Onesided Romance,happy,lip-syncing,self-shot,Hindi
6064,Fitness,neutral,background-song-with-lyrics,self-shot,Hindi
6065,Dance,affection,lip-syncing,self-shot,Hindi
6066,Food,neutral,background-song-with-lyrics,self-shot,Hindi
6067,Celeb,happy,background-song-with-lyrics,videos-text-special-effects,Hindi
6068,Fashion,neutral,background-song-with-lyrics,self-shot,Hindi
6069,Arts,neutral,background-song-with-lyrics,special-effects,Hindi
6070,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6071,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6072,Philanthropy,kindness,background-song-with-lyrics,self-shot,Hindi
6073,Fails,happy,background-song-with-lyrics,videos-with-text,Hindi
6074,Magic,neutral,instrumental,self-shot,Hindi
6075,Couple Romance,happy,lip-syncing,self-shot,Hindi
6076,Devotion,neutral,background-song-with-lyrics,self-shot,Hindi
6077,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6078,Fails,neutral,noise,special-effects,Hindi
6079,Heartbreak Romance,sad,lip-syncing,videos-with-text,Hindi
6080,Devotion,neutral,background-song-with-lyrics,self-shot,Hindi
6081,Festival,happy,background-song-with-lyrics,special-effects,Hindi
6082,Pets,neutral,background-song-with-lyrics,self-shot,Hindi
6083,Onesided Romance,happy,lip-syncing,self-shot,Hindi
6084,Dance,happy,background-song-with-lyrics,self-shot,Hindi
6085,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6086,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
6087,Fashion,happy,background-song-with-lyrics,self-shot,Hindi
6088,Memes,neutral,self-spoken-dialogues,videos-with-text,Hindi
6089,Couple Romance,affection,lip-syncing,self-shot,Hindi
6090,Dance,happy,lip-syncing,self-shot,Hindi
6091,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
6092,Nature,neutral,background-song-with-lyrics,animation,Hindi
6093,Family Comedy,happy,lip-syncing,self-shot,Hindi
6094,Automobiles & Gadgets,neutral,self-spoken-monologues,special-effects,Hindi
6095,Music,happy,self-sung-song,videos-with-text,Hindi
6096,Pets,neutral,background-song-with-lyrics,videos-with-text,Hindi
6097,News,affection,self-spoken-monologues,slideshow,Hindi
6098,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6099,Family Comedy,happy,lip-syncing,special-effects,Hindi
6100,Heartbreak Romance,sad,lip-syncing,videos-text-special-effects,Hindi
6101,Heartbreak Romance,sad,lip-syncing,videos-text-special-effects,Hindi
6102,Kids Comedy,happy,lip-syncing,self-shot,Hindi
6103,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6104,Fashion,happy,background-song-with-lyrics,self-shot,Hindi
6105,Philanthropy,kindness,background-song-with-lyrics,self-shot,Hindi
6106,Astrology,neutral,self-spoken-monologues,self-shot,Hindi
6107,Couple Romance,happy,lip-syncing,self-shot,Hindi
6108,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
6109,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
6110,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
6111,Sports,neutral,background-song-with-lyrics,self-shot,Hindi
6112,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
6113,Cartoons,neutral,background-song-with-lyrics,animation,Hindi
6114,Fitness,confidence,self-spoken-monologues,collab,Hindi
6115,Patriotism,anger,lip-syncing,self-shot,Hindi
6116,Food,neutral,background-song-with-lyrics,self-shot,Hindi
6117,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
6118,News,happy,background-song-with-lyrics,videos-with-text,Hindi
6119,Family Comedy,happy,self-spoken-dialogues,special-effects,Hindi
6120,Photography,neutral,background-song-with-lyrics,videos-text-special-effects,Hindi
6121,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
6122,Memes,happy,self-spoken-dialogues,movie/tv-show,Hindi
6123,Kids Comedy,happy,background-song-with-lyrics,self-shot,Hindi
6124,Pets,affection,lip-syncing,videos-with-text,Hindi
6125,Philanthropy,happy,background-song-with-lyrics,special-effects,Hindi
6126,Dance,affection,lip-syncing,self-shot,Hindi
6127,Photography,neutral,background-song-with-lyrics,special-effects,Hindi
6128,Celeb,happy,self-sung-song,movie/tv-show,Hindi
6129,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6130,Automobiles & Gadgets,confidence,self-spoken-monologues,self-shot,Hindi
6131,Couple Romance,affection,background-song-with-lyrics,videos-with-text,Hindi
6132,Music,happy,self-sung-song,self-shot,Hindi
6133,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
6134,Pets,neutral,background-song-with-lyrics,self-shot,Hindi
6135,Dance,happy,lip-syncing,self-shot,Hindi
6136,Animals,neutral,background-song-with-lyrics,self-shot,Hindi
6137,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6138,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6139,Celeb,happy,background-song-with-lyrics,self-shot,Hindi
6140,Couple Romance,happy,lip-syncing,special-effects,Hindi
6141,Couple Romance,affection,lip-syncing,special-effects,Hindi
6142,Fails,happy,self-spoken-monologues,self-shot,Hindi
6143,Philanthropy,neutral,self-spoken-dialogues,self-shot,Hindi
6144,Couple Comedy,happy,self-spoken-dialogues,videos-text-special-effects,Hindi
6145,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6146,Couple Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6147,Kids Comedy,happy,lip-syncing,self-shot,Hindi
6148,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6149,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
6150,Devotion,affection,background-song-with-lyrics,videos-text-special-effects,Hindi
6151,Onesided Romance,affection,lip-syncing,special-effects,Hindi
6152,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
6153,Fashion,neutral,background-song-with-lyrics,special-effects,Hindi
6154,Fails,happy,background-song-with-lyrics,self-shot,Hindi
6155,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6156,Patriotism,happy,lip-syncing,self-shot,Hindi
6157,Magic,surprise,self-spoken-monologues,self-shot,Hindi
6158,Music,neutral,self-sung-song,special-effects,Hindi
6159,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
6160,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6161,Memes,happy,self-spoken-dialogues,movie/tv-show,Hindi
6162,Comedians,happy,self-spoken-monologues,movie/tv-show,Hindi
6163,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6164,Travel,neutral,self-spoken-monologues,self-shot,Hindi
6165,Philanthropy,kindness,self-spoken-monologues,special-effects,Hindi
6166,Dance,affection,lip-syncing,self-shot,Hindi
6167,Nature,neutral,background-song-with-lyrics,self-shot,Hindi
6168,Arts,happy,self-spoken-monologues,videos-with-text,Hindi
6169,Stunts,confidence,background-song-with-lyrics,self-shot,Hindi
6170,Devotion,affection,lip-syncing,animation,Hindi
6171,Fitness,confidence,self-spoken-monologues,self-shot,Hindi
6172,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6173,Arts,neutral,self-spoken-dialogues,self-shot,Hindi
6174,Magic,surprise,self-spoken-monologues,self-shot,Hindi
6175,Festival,happy,background-song-with-lyrics,self-shot,Hindi
6176,Fails,happy,background-song-with-lyrics,videos-with-text,Hindi
6177,Magic,neutral,self-spoken-monologues,animation,Hindi
6178,Couple Romance,affection,lip-syncing,self-shot,Hindi
6179,Family Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6180,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6181,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6182,Memes,happy,self-spoken-monologues,videos-text-special-effects,Hindi
6183,Magic,surprise,instrumental,videos-text-special-effects,Hindi
6184,Fitness,neutral,self-spoken-dialogues,self-shot,Hindi
6185,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
6186,Magic,happy,background-song-with-lyrics,videos-with-text,Hindi
6187,Philanthropy,kindness,background-song-with-lyrics,reaction videos,Hindi
6188,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6189,Music,happy,self-sung-song,special-effects,Hindi
6190,Pets,neutral,background-song-with-lyrics,self-shot,Hindi
6191,Couple Comedy,happy,lip-syncing,self-shot,Hindi
6192,Couple Romance,affection,lip-syncing,videos-with-text,Hindi
6193,Animals,neutral,background-song-with-lyrics,self-shot,Hindi
6194,Magic,surprise,self-spoken-dialogues,animation,Hindi
6195,Fails,happy,self-spoken-monologues,special-effects,Hindi
6196,Couple Romance,affection,lip-syncing,self-shot,Hindi
6197,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6198,Couple Comedy,happy,lip-syncing,self-shot,Hindi
6199,Pranks,happy,self-spoken-dialogues,reaction videos,Hindi
6200,Family Comedy,happy,lip-syncing,self-shot,Hindi
6201,Magic,surprise,self-spoken-monologues,self-shot,Hindi
6202,Cartoons,happy,self-spoken-dialogues,animation,Hindi
6203,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
6204,Philanthropy,neutral,self-spoken-monologues,self-shot,Hindi
6205,Onesided Romance,happy,lip-syncing,special-effects,Hindi
6206,Friends Comedy,happy,lip-syncing,self-shot,Hindi
6207,Stunts,neutral,background-song-with-lyrics,self-shot,Hindi
6208,Kids Comedy,happy,lip-syncing,self-shot,Hindi
6209,Pets,neutral,background-song-with-lyrics,self-shot,Hindi
6210,Family Comedy,happy,lip-syncing,reaction videos,Hindi
6211,Music,happy,self-sung-song,self-shot,Hindi
6212,Couple Comedy,happy,lip-syncing,self-shot,Hindi
6213,Couple Romance,happy,lip-syncing,self-shot,Hindi
6214,News,affection,self-spoken-monologues,videos-with-text,Hindi
6215,Philanthropy,fear,background-song-with-lyrics,self-shot,Hindi
6216,Music,happy,self-sung-song,special-effects,Hindi
6217,Astrology,neutral,self-spoken-monologues,self-shot,Hindi
6218,Philanthropy,happy,background-song-with-lyrics,self-shot,Hindi
6219,Family Comedy,happy,lip-syncing,reaction videos,Hindi
6220,Astrology,neutral,self-spoken-monologues,self-shot,Hindi
6221,Automobiles & Gadgets,neutral,background-song-with-lyrics,self-shot,Hindi
6222,Nature,neutral,self-spoken-monologues,self-shot,Hindi
6223,Philanthropy,kindness,self-spoken-dialogues,videos-text-special-effects,Hindi
6224,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6225,Philanthropy,kindness,background-song-with-lyrics,self-shot,Hindi
6226,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6227,Couple Romance,happy,lip-syncing,special-effects,Hindi
6228,Dance,happy,lip-syncing,reaction videos,Hindi
6229,Fails,happy,self-sung-song,self-shot,Hindi
6230,Travel,neutral,self-spoken-monologues,self-shot,Hindi
6231,Family Comedy,happy,lip-syncing,reaction videos,Hindi
6232,Couple Romance,happy,lip-syncing,self-shot,Hindi
6233,Devotion,neutral,background-song-with-lyrics,self-shot,Hindi
6234,Astrology,neutral,self-spoken-monologues,self-shot,Hindi
6235,Philanthropy,kindness,background-song-with-lyrics,self-shot,Hindi
6236,Philanthropy,happy,background-song-with-lyrics,special-effects,Hindi
6237,Memes,happy,background-song-with-lyrics,videos-text-special-effects,Hindi
6238,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6239,Fashion,happy,background-song-with-lyrics,self-shot,Hindi
6240,Couple Romance,happy,lip-syncing,self-shot,Hindi
6241,Onesided Romance,happy,lip-syncing,self-shot,Hindi
6242,Stunts,confidence,self-spoken-monologues,self-shot,Hindi
6243,Photography,neutral,background-song-with-lyrics,videos-text-special-effects,Hindi
6244,Devotion,affection,background-song-with-lyrics,videos-with-text,Hindi
6245,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
6246,Music,happy,self-sung-song,special-effects,Hindi
6247,Couple Romance,affection,lip-syncing,self-shot,Hindi
6248,Fails,happy,background-song-with-lyrics,videos-text-special-effects,Hindi
6249,Fails,neutral,background-song-with-lyrics,self-shot,Hindi
6250,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
6251,Philanthropy,neutral,self-spoken-dialogues,special-effects,Hindi
6252,Celeb,happy,lip-syncing,videos-with-text,Hindi
6253,Animals,neutral,background-song-with-lyrics,self-shot,Hindi
6254,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
6255,Couple Romance,affection,lip-syncing,special-effects,Hindi
6256,Couple Romance,affection,lip-syncing,special-effects,Hindi
6257,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
6258,Automobiles & Gadgets,neutral,background-song-with-lyrics,videos-with-text,Hindi
6259,Food,neutral,background-song-with-lyrics,videos-with-text,Hindi
6260,Cartoons,happy,background-song-with-lyrics,animation,Hindi
6261,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
6262,News,neutral,self-spoken-monologues,videos-with-text,Hindi
6263,Stunts,confidence,background-song-with-lyrics,self-shot,Hindi
6264,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6265,Kids Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6266,Magic,neutral,background-song-with-lyrics,self-shot,Hindi
6267,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6268,Food,neutral,instrumental,self-shot,Hindi
6269,Astrology,neutral,background-song-with-lyrics,self-shot,Hindi
6270,News,sad,self-spoken-monologues,special-effects,Hindi
6271,Pets,neutral,lip-syncing,self-shot,Hindi
6272,Heartbreak Romance,sad,self-spoken-dialogues,special-effects,Hindi
6273,Food,neutral,self-spoken-dialogues,self-shot,Hindi
6274,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
6275,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
6276,Celeb,happy,self-sung-song,self-shot,Hindi
6277,Onesided Romance,happy,background-song-with-lyrics,self-shot,Hindi
6278,Festival,neutral,background-song-with-lyrics,videos-text-special-effects,Hindi
6279,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6280,Memes,happy,self-spoken-dialogues,movie/tv-show,Hindi
6281,News,neutral,self-spoken-monologues,slideshow,Hindi
6282,Philanthropy,neutral,background-song-with-lyrics,self-shot,Hindi
6283,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6284,Couple Romance,happy,lip-syncing,self-shot,Hindi
6285,Fails,happy,background-song-with-lyrics,self-shot,Hindi
6286,Onesided Romance,happy,lip-syncing,videos-with-text,Hindi
6287,Festival,happy,background-song-with-lyrics,self-shot,Hindi
6288,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
6289,Friends Comedy,happy,lip-syncing,self-shot,Hindi
6290,Fails,happy,background-song-with-lyrics,self-shot,Hindi
6291,Nature,happy,background-song-with-lyrics,special-effects,Hindi
6292,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
6293,Nature,neutral,background-song-with-lyrics,self-shot,Hindi
6294,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6295,Nature,neutral,background-song-with-lyrics,self-shot,Hindi
6296,Travel,neutral,background-song-with-lyrics,self-shot,Hindi
6297,Celeb,happy,self-spoken-dialogues,videos-with-text,Hindi
6298,Couple Comedy,happy,lip-syncing,self-shot,Hindi
6299,News,neutral,self-spoken-monologues,self-shot,Hindi
6300,Devotion,neutral,lip-syncing,self-shot,Hindi
6301,Kids Comedy,happy,lip-syncing,self-shot,Hindi
6302,Couple Comedy,happy,background-song-with-lyrics,self-shot,Hindi
6303,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
6304,Pranks,happy,self-spoken-dialogues,videos-with-text,Hindi
6305,Fails,happy,self-spoken-monologues,videos-text-special-effects,Hindi
6306,Music,happy,lip-syncing,special-effects,Hindi
6307,Astrology,neutral,self-spoken-monologues,slideshow,Hindi
6308,Automobiles & Gadgets,neutral,background-song-with-lyrics,special-effects,Hindi
6309,Fails,happy,self-spoken-monologues,special-effects,Hindi
6310,Fitness,neutral,self-spoken-monologues,self-shot,Hindi
6311,Heartbreak Romance,sad,lip-syncing,videos-text-special-effects,Hindi
6312,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6313,Friends Comedy,happy,lip-syncing,self-shot,Hindi
6314,Pets,neutral,background-song-with-lyrics,self-shot,Hindi
6315,Pranks,happy,self-spoken-monologues,videos-text-special-effects,Hindi
6316,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6317,Astrology,neutral,self-spoken-monologues,special-effects,Hindi
6318,Dance,neutral,self-sung-song,self-shot,Hindi
6319,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6320,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
6321,Nature,neutral,background-song-with-lyrics,special-effects,Hindi
6322,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
6323,Family Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6324,Fails,happy,self-spoken-monologues,self-shot,Hindi
6325,Nature,neutral,background-song-with-lyrics,self-shot,Hindi
6326,Couple Romance,affection,lip-syncing,collab,Hindi
6327,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6328,Philanthropy,neutral,background-song-with-lyrics,self-shot,Hindi
6329,Celeb,happy,background-song-with-lyrics,collab,Hindi
6330,Philanthropy,kindness,self-sung-song,self-shot,Hindi
6331,Magic,surprise,self-spoken-monologues,self-shot,Hindi
6332,Magic,surprise,self-spoken-dialogues,movie/tv-show,Hindi
6333,Family Comedy,happy,self-spoken-dialogues,special-effects,Hindi
6334,Fashion,neutral,background-song-with-lyrics,special-effects,Hindi
6335,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6336,Family Comedy,happy,lip-syncing,self-shot,Hindi
6337,Dance,happy,lip-syncing,self-shot,Hindi
6338,Couple Comedy,happy,lip-syncing,self-shot,Hindi
6339,Celeb,happy,background-song-with-lyrics,self-shot,Hindi
6340,Fails,neutral,background-song-with-lyrics,self-shot,Hindi
6341,Fails,happy,background-song-with-lyrics,self-shot,Hindi
6342,Patriotism,confidence,background-song-with-lyrics,videos-text-special-effects,Hindi
6343,Animals,confidence,self-spoken-monologues,self-shot,Hindi
6344,News,neutral,self-spoken-monologues,movie/tv-show,Hindi
6345,Fashion,neutral,background-song-with-lyrics,self-shot,Hindi
6346,Fashion,happy,self-spoken-monologues,self-shot,Hindi
6347,Music,happy,self-sung-song,self-shot,Hindi
6348,Kids Comedy,happy,lip-syncing,special-effects,Hindi
6349,Magic,surprise,self-spoken-monologues,self-shot,Hindi
6350,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6351,Arts,neutral,background-song-with-lyrics,special-effects,Hindi
6352,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
6353,Celeb,happy,lip-syncing,special-effects,Hindi
6354,Cartoons,happy,self-spoken-monologues,animation,Hindi
6355,Fashion,neutral,background-song-with-lyrics,special-effects,Hindi
6356,Philanthropy,neutral,background-song-with-lyrics,videos-with-text,Hindi
6357,Nature,neutral,background-song-with-lyrics,self-shot,Hindi
6358,News,neutral,self-spoken-monologues,videos-with-text,Hindi
6359,Family Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6360,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6361,Food,neutral,background-song-with-lyrics,self-shot,Hindi
6362,Family Comedy,happy,lip-syncing,videos-with-text,Hindi
6363,Dance,happy,lip-syncing,self-shot,Hindi
6364,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
6365,Couple Comedy,happy,lip-syncing,special-effects,Hindi
6366,Magic,surprise,self-spoken-monologues,self-shot,Hindi
6367,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
6368,Travel,neutral,background-song-with-lyrics,self-shot,Hindi
6369,Couple Romance,happy,lip-syncing,self-shot,Hindi
6370,Onesided Romance,happy,lip-syncing,self-shot,Hindi
6371,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
6372,Photography,neutral,background-song-with-lyrics,self-shot,Hindi
6373,Comedians,happy,self-spoken-dialogues,movie/tv-show,Hindi
6374,Couple Romance,affection,lip-syncing,self-shot,Hindi
6375,Arts,neutral,background-song-with-lyrics,self-shot,Hindi
6376,Family Comedy,happy,self-spoken-dialogues,special-effects,Hindi
6377,Patriotism,neutral,background-song-with-lyrics,self-shot,Hindi
6378,Family Comedy,happy,background-song-with-lyrics,self-shot,Hindi
6379,Onesided Romance,happy,lip-syncing,special-effects,Hindi
6380,Photography,happy,background-song-with-lyrics,self-shot,Hindi
6381,Couple Romance,affection,lip-syncing,special-effects,Hindi
6382,Philanthropy,kindness,background-song-with-lyrics,special-effects,Hindi
6383,Sports,neutral,background-song-with-lyrics,special-effects,Hindi
6384,Magic,surprise,background-song-with-lyrics,videos-text-special-effects,Hindi
6385,Cartoons,happy,background-song-with-lyrics,animation,Hindi
6386,Cartoons,happy,self-spoken-dialogues,animation,Hindi
6387,Onesided Romance,happy,lip-syncing,self-shot,Hindi
6388,Devotion,affection,background-song-with-lyrics,animation,Hindi
6389,Pranks,happy,noise,self-shot,Hindi
6390,News,neutral,self-spoken-monologues,videos-text-special-effects,Hindi
6391,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
6392,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
6393,Fails,happy,background-song-with-lyrics,self-shot,Hindi
6394,Magic,surprise,self-spoken-monologues,reaction videos,Hindi
6395,Sports,neutral,background-song-with-lyrics,animation,Hindi
6396,Devotion,neutral,background-song-with-lyrics,self-shot,Hindi
6397,Magic,neutral,self-spoken-monologues,self-shot,Hindi
6398,Music,neutral,self-sung-song,special-effects,Hindi
6399,Philanthropy,kindness,background-song-with-lyrics,self-shot,Hindi
6400,Music,happy,self-sung-song,self-shot,Hindi
6401,News,neutral,self-spoken-monologues,videos-with-text,Hindi
6402,Travel,neutral,background-song-with-lyrics,videos-with-text,Hindi
6403,Magic,neutral,background-song-with-lyrics,self-shot,Hindi
6404,Magic,surprise,lip-syncing,self-shot,Hindi
6405,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6406,Couple Comedy,happy,background-song-with-lyrics,self-shot,Hindi
6407,Family Comedy,happy,noise,videos-with-text,Hindi
6408,Celeb,happy,self-sung-song,videos-with-text,Hindi
6409,Couple Romance,neutral,background-song-with-lyrics,special-effects,Hindi
6410,Automobiles & Gadgets,happy,background-song-with-lyrics,self-shot,Hindi
6411,Family Comedy,happy,lip-syncing,self-shot,Hindi
6412,Friends Comedy,happy,self-spoken-dialogues,videos-with-text,Hindi
6413,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6414,Couple Comedy,happy,lip-syncing,special-effects,Hindi
6415,Couple Comedy,happy,self-spoken-dialogues,special-effects,Hindi
6416,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
6417,Magic,surprise,background-song-with-lyrics,collab,Hindi
6418,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
6419,Magic,neutral,self-spoken-monologues,self-shot,Hindi
6420,Nature,neutral,background-song-with-lyrics,self-shot,Hindi
6421,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
6422,Cartoons,happy,self-spoken-monologues,animation,Hindi
6423,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
6424,Animals,happy,background-song-with-lyrics,self-shot,Hindi
6425,Friends Comedy,happy,self-spoken-dialogues,videos-text-special-effects,Hindi
6426,Onesided Romance,neutral,background-song-with-lyrics,special-effects,Hindi
6427,News,neutral,self-spoken-monologues,videos-with-text,Hindi
6428,Automobiles & Gadgets,neutral,background-song-with-lyrics,self-shot,Hindi
6429,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
6430,Arts,happy,background-song-with-lyrics,self-shot,Hindi
6431,Heartbreak Romance,neutral,self-spoken-dialogues,videos-with-text,Hindi
6432,Patriotism,neutral,background-song-with-lyrics,self-shot,Hindi
6433,Couple Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6434,Magic,surprise,background-song-with-lyrics,reaction videos,Hindi
6435,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
6436,Family Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6437,Festival,happy,background-song-with-lyrics,self-shot,Hindi
6438,Couple Romance,affection,lip-syncing,self-shot,Hindi
6439,Pets,affection,background-song-with-lyrics,self-shot,Hindi
6440,Magic,surprise,background-song-with-lyrics,special-effects,Hindi
6441,Couple Comedy,happy,lip-syncing,self-shot,Hindi
6442,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
6443,Pets,affection,background-song-with-lyrics,self-shot,Hindi
6444,Fashion,happy,self-spoken-dialogues,self-shot,Hindi
6445,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
6446,Astrology,neutral,self-spoken-monologues,videos-with-text,Hindi
6447,Patriotism,neutral,background-song-with-lyrics,videos-text-special-effects,Hindi
6448,Stunts,confidence,background-song-with-lyrics,self-shot,Hindi
6449,Sports,affection,self-spoken-dialogues,videos-text-special-effects,Hindi
6450,Heartbreak Romance,sad,background-song-with-lyrics,videos-text-special-effects,Hindi
6451,Family Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6452,Sports,happy,background-song-with-lyrics,videos-text-special-effects,Hindi
6453,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
6454,Magic,surprise,background-song-with-lyrics,special-effects,Hindi
6455,Fashion,neutral,background-song-with-lyrics,self-shot,Hindi
6456,Astrology,neutral,self-spoken-monologues,slideshow,Hindi
6457,News,neutral,background-song-with-lyrics,self-shot,Hindi
6458,Nature,neutral,instrumental,self-shot,Hindi
6459,Animals,neutral,background-song-with-lyrics,self-shot,Hindi
6460,Philanthropy,happy,self-spoken-dialogues,special-effects,Hindi
6461,Family Comedy,happy,lip-syncing,videos-with-text,Hindi
6462,Fails,happy,self-spoken-monologues,videos-with-text,Hindi
6463,Fashion,neutral,background-song-with-lyrics,self-shot,Hindi
6464,Celeb,happy,background-song-with-lyrics,movie/tv-show,Hindi
6465,Couple Comedy,happy,self-spoken-dialogues,special-effects,Hindi
6466,Friends Comedy,happy,background-song-with-lyrics,videos-with-text,Hindi
6467,Nature,happy,background-song-with-lyrics,self-shot,Hindi
6468,Philanthropy,kindness,self-spoken-dialogues,special-effects,Hindi
6469,Photography,neutral,background-song-with-lyrics,special-effects,Hindi
6470,Music,happy,self-sung-song,videos-text-special-effects,Hindi
6471,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Hindi
6472,Animals,neutral,self-spoken-monologues,special-effects,Hindi
6473,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
6474,Dance,happy,lip-syncing,self-shot,Hindi
6475,Automobiles & Gadgets,neutral,background-song-with-lyrics,videos-with-text,Hindi
6476,Fails,happy,background-song-with-lyrics,special-effects,Hindi
6477,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
6478,Friends Comedy,happy,background-song-with-lyrics,self-shot,Hindi
6479,Music,happy,self-sung-song,self-shot,Hindi
6480,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
6481,News,confidence,self-spoken-monologues,videos-with-text,Hindi
6482,Couple Comedy,happy,self-spoken-dialogues,self-shot,Hindi
6483,Devotion,happy,lip-syncing,self-shot,Hindi
6484,Kids Comedy,happy,lip-syncing,self-shot,Hindi
6485,Sports,neutral,background-song-with-lyrics,special-effects,Hindi
6486,Fails,happy,background-song-with-lyrics,self-shot,Hindi
6487,Family Comedy,happy,lip-syncing,reaction videos,Hindi
6488,Sports,neutral,background-song-with-lyrics,self-shot,Hindi
6489,Magic,surprise,background-song-with-lyrics,self-shot,Hindi
6490,Stunts,confidence,self-spoken-monologues,self-shot,Hindi
